population,sort,Replicate,IFNB1
Virus 1,positive,1,2.277286528
Virus 1,positive,1,1.859115602
Virus 1,positive,2,3.02988243
Virus 1,positive,2,2.435359956
Virus 1,negative,1,-3.13882059
Virus 1,negative,1,-3.884782828
Virus 1,negative,2,-2.965707756
Virus 1,negative,2,-3.09535594
Virus 2,positive,1,0.617849348
Virus 2,positive,1,0.066064839
Virus 2,positive,2,1.247901915
Virus 2,positive,2,0.609930041
Virus 2,negative,1,-3.793323572
Virus 2,negative,1,-4.066179391
Virus 2,negative,2,-4.832763762
Virus 2,negative,2,-4.906497803